"YC_link","Company_Name","company_description","Batch","Industry","Sub-Industry","Location"
"https://www.ycombinator.com/companies/patientdeskai","Patientdesk.ai","AI voice agent for patient calls & admin workflows","Winter 2026","Healthcare","Healthcare IT",""
"https://www.ycombinator.com/companies/luel","Luel","Turning everyday words and actions into usable training data.","Winter 2026","B2B","Infrastructure","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/avoice","AVoice","AI-Driven Sales Intelligence for the Physical Economy","Winter 2026","B2B","Sales","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/hlabs","Hlabs","Developer friendly robotics","Winter 2026","Industrials","","Austin, TX, USA"
"https://www.ycombinator.com/companies/valgo","Valgo","Algorithmic safety validation tools for autonomy.","Winter 2026","B2B","Engineering, Product and Design","San Mateo, CA, USA"
"https://www.ycombinator.com/companies/sarah-ai","Sarah AI","AI Agents for CPG ops","Winter 2026","B2B","Operations","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/jsx-tool","JSX Tool","AI-First In-Browser IDE for React Development","Fall 2025","B2B","Engineering, Product and Design",""
"https://www.ycombinator.com/companies/zephyr-fusion","Zephyr Fusion","Powering tomorrow's industrial revolution in space","Fall 2025","Industrials","Energy","San Diego, CA, USA"
"https://www.ycombinator.com/companies/mayflower","Mayflower","AI plug-in that automates HR immigration screening and compliance","Fall 2025","Government","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/item","item","The AI-Native CRM that works for you","Fall 2025","B2B","Sales","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/rivet-design","Rivet","Visual editor to design in production code","Fall 2025","B2B","Engineering, Product and Design","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/openroll","Openroll","AI-Native Workday","Fall 2025","B2B","","Stockholm, Stockholm County, Sweden"
"https://www.ycombinator.com/companies/fixpoint","Fixpoint","Uber for AI trainers and human-in-the-loop supervisors","Fall 2025","B2B","Human Resources",""
"https://www.ycombinator.com/companies/bear","Bear","Marketing Stack for AI Agents","Fall 2025","B2B","Marketing","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/moss","Moss","Real-time semantic search for Conversational AI","Fall 2025","B2B","","San Mateo, CA, USA"
"https://www.ycombinator.com/companies/zarna","Zarna","AI Associates for Private Capital","Fall 2025","B2B","Finance and Accounting","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/markit","MarkIt","AI Agents for Trade Compliance","Fall 2025","B2B","Supply Chain and Logistics","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/dome","Dome","A unified API for prediction markets, like Kalshi and Polymarket","Fall 2025","B2B","Infrastructure","New York, NY, USA"
"https://www.ycombinator.com/companies/clicks","Clicks","Computer use agents to automate all back-office work","Fall 2025","B2B","Productivity","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/fastshot","Fastshot","Lovable for mobile apps","Fall 2025","B2B","Engineering, Product and Design",""
"https://www.ycombinator.com/companies/claybird","Claybird","The full-stack AI ad company","Fall 2025","B2B","Marketing","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/lunabill","LunaBill","AI Voice callers for healthcare billing teams","Fall 2025","Healthcare","Healthcare IT","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/axial-composites-industries","Axial Composites Industries","Carbon Fiber Manufacturing at the Speed of Software","Fall 2025","Industrials","Aviation and Space",""
"https://www.ycombinator.com/companies/velvet","Velvet","All-in-one tool for making AI videos","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/diligencesquared-inc","DiligenceSquared","AI-powered market due diligence for investment decisions","Fall 2025","B2B","Analytics","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/amera","Amera","Automating claims processing workflows for health insurance payers.","Fall 2025","Fintech","Insurance","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/forge-robotics","Forge Robotics","A robotics intelligence system for metal fabrication","Fall 2025","Industrials","Manufacturing and Robotics","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/stratus-aviation","Stratus Aviation","AI-powered intelligence layer for airports","Fall 2025","Industrials","Aviation and Space","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/bluma","Bluma","The new media distribution company","Fall 2025","B2B","Marketing","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/lightberry","Lightberry","The social brain for robots.","Fall 2025","Industrials","Manufacturing and Robotics","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/the-hog","The Hog","The Palantir for Go-To-Market","Fall 2025","B2B","Marketing",""
"https://www.ycombinator.com/companies/telemetron-ai","Telemetron","Support and Operations Platform for Hardware Companies","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/boom-ai","Boom AI","AI growth team for e-commerce brands","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/freeport-markets","Freeport Markets","DeFi Brokerage for Real Assets","Fall 2025","Fintech","Consumer Finance","New York, NY, USA"
"https://www.ycombinator.com/companies/miniswap","Miniswap","The Marketplace for Complex Hobbies","Fall 2025","Consumer","Gaming","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/rovi-health","Rovi Health","AI healthcare concierge for employees","Fall 2025","Healthcare","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/castari","Castari","Vercel for AI Agents – Deploy sandboxed agents with MCP tools & skills","Fall 2025","B2B","Infrastructure","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/jarmin","Jarmin","24/7 Machine Learning Engineer employees","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/exonic","Exonic","Crowdsourcing drug discovery.","Fall 2025","Healthcare","Drug Discovery and Delivery","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/uselemma","Lemma","Continuous learning for AI agents","Fall 2025","B2B","Engineering, Product and Design","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/mantle","Mantle","Build internal agents to automate back office work with one prompt","Fall 2025","B2B","Operations","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/karumi","Karumi","24/7 AI demo agent for B2B SaaS","Fall 2025","B2B","Sales","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/icarus","Icarus","Stratospheric birds for defense","Fall 2025","Industrials","Aviation and Space","Los Angeles, CA, USA"
"https://www.ycombinator.com/companies/savahq","Sava","The Fullstack AI-Native Trust Company","Fall 2025","Fintech","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/waffer","Waffer","Lovable for Animated Graphics Videos","Fall 2025","B2B","",""
"https://www.ycombinator.com/companies/denki","Denki","The full-stack AI financial audit firm","Fall 2025","B2B","Finance and Accounting","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/arcten","Arcten","We provide action-taking copilots for every app","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/metorial","Metorial","The infra layer for AI integrations.","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/kalpa-labs","Kalpa Labs","Scaling Generalist Speech models","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/absurd","Absurd","AI Brand and Performance Ads at Scale","Fall 2025","B2B","Marketing","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/clad-labs","Clad Labs","the brainrot ide","Fall 2025","Consumer","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/automax-ai","Automax.ai","AI native real-estate appraisal firm","Fall 2025","Real Estate and Construction","Housing and Real Estate","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/specific","Specific","Build and deploy production-ready backends without code","Fall 2025","B2B","Engineering, Product and Design","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/primer","Primer","AI Product Demos","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/usenarrative","Narrative","The infrastructure for AI video processing","Fall 2025","B2B","Infrastructure","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/crunched","Crunched","Excel AI analyst for Power Users","Fall 2025","B2B","Finance and Accounting",""
"https://www.ycombinator.com/companies/lua-global-inc","Lua Global Inc","The mid-market agent platform","Fall 2025","B2B","","London, England, United Kingdom"
"https://www.ycombinator.com/companies/spatial-ai","Spatial AI","Data for robot foundational models","Fall 2025","B2B","","Palo Alto, CA, USA"
"https://www.ycombinator.com/companies/sourcebot","Sourcebot","Helping humans and AI agents understand massive codebases","Fall 2025","B2B","Engineering, Product and Design","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/zalos","Zalos","Computer Agents for Finance tasks like reconciliation, in your system!","Fall 2025","B2B","Operations","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/hireglide","HireGlide","AI screening and matching for hiring teams","Fall 2025","B2B","Recruiting and Talent","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/aside","Aside","Live answer copilot for enterprise tech sales","Fall 2025","B2B","Sales","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/scott-ai","Scott AI","Agentic Workspace for Software Spec Design","Fall 2025","B2B","","New York, NY, USA"
"https://www.ycombinator.com/companies/everest","Everest","AI employees for outsourced IT","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/expected-parrot","Expected Parrot","Simulate your customers with AI agents","Fall 2025","B2B","","Cambridge, MA, USA"
"https://www.ycombinator.com/companies/imagine-ai","Imagine AI","Your AI Clone for B2B Content","Fall 2025","B2B","Sales","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/anto-biosciences","Anto Biosciences","A Foundation Model for Microbial Communities.","Fall 2025","Healthcare","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/patent-watch","Patent Watch","AI for detecting patent infringements","Fall 2025","B2B","","Toronto, ON, Canada"
"https://www.ycombinator.com/companies/s2-dev","s2.dev","API for unlimited, durable, real-time streams","Fall 2025","B2B","Infrastructure","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/tornyol","Tornyol","We build micro-drones that kill mosquitoes.","Fall 2025","Consumer","Consumer Electronics",""
"https://www.ycombinator.com/companies/nucleo","Nucleo","The first Agentic platform for Oncology","Fall 2025","Healthcare","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/leadbay","Leadbay","Discover and qualify leads that couldn't be found before.","Fall 2025","B2B","Sales","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/pixley-ai","Pixley AI","The first platform where parents & kids can co-create AI cartoon shows","Fall 2025","Consumer","Content","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/cortex-ai","Cortex AI","Large-scale real-world robot & human data for embodied AI","Fall 2025","Industrials","Manufacturing and Robotics","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/inspector","Inspector","AI IDE for front-end development","Fall 2025","B2B","Engineering, Product and Design","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/thesis","Thesis","The scientific discovery engine.","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/play-health","Play Health","Perimenopause Care Platform","Fall 2025","Healthcare","","Boulder, CO, USA"
"https://www.ycombinator.com/companies/casey","Casey","Casey automates workflows for the insurance industry","Fall 2025","Fintech","Insurance","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/selfin","Selfin","Building the first AI Bank","Fall 2025","Fintech","Consumer Finance","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/compyle","Compyle","The coding agent that actually collaborates with you","Fall 2025","B2B","Engineering, Product and Design","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/lexi","Lexi","AI Associates for Corporate Law","Fall 2025","B2B","Legal","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/codyco","Codyco","The AI Reservation Team for Hotel Groups","Fall 2025","B2B","",""
"https://www.ycombinator.com/companies/complydo","ComplyDo","Global Compliance for Enterprises","Fall 2025","B2B","Legal",""
"https://www.ycombinator.com/companies/bravi","Bravi","AI Communication hub for home services companies","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/rovr","Rovr","AI FDE Engine that runs your engineering workflows","Fall 2025","B2B","Engineering, Product and Design","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/sunflower","Sunflower","Building the Sobriety Platform for the future of Superintelligence. 🌻","Fall 2025","Consumer","",""
"https://www.ycombinator.com/companies/captain","Captain","The Reliable Alternative to RAG","Fall 2025","B2B","Infrastructure","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/redapto","Redapto","Self-improving systems for Customer Support Teams","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/articulate","Articulate","Automatic Construction Drawing Clash Detection","Fall 2025","Real Estate and Construction","Construction","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/aleph-lab","Aleph Lab","AI language buddy in the games kids love","Fall 2025","Consumer","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/logical","Logical","A proactive desktop copilot. Clippy, but actually good.","Fall 2025","B2B","Productivity","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/agentic-fabriq","Agentic Fabriq","Okta for Agents.","Fall 2025","B2B","","Sunnyvale, CA, USA"
"https://www.ycombinator.com/companies/tensr","Tensr","Fully autonomous robotic factories","Fall 2025","Industrials","Manufacturing and Robotics","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/kestrel-ai","Kestrel AI","AI-Native Cloud Incident Response Platform","Fall 2025","B2B","Security","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/sanctum","Sanctum","Catch software issues with user simulations","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/logosguard","LogosGuard","The risk management software for enterprises adopting AI","Fall 2025","B2B","","San Francisco, CA, USA"
